decade,median,p10,p90,vulnerable_decade
2010,6.508231229523692,5.428121649738022,7.572204227706124,False
2020,6.11179915252082,5.132543841598232,7.624577127426789,False
2030,5.951271467246462,5.046913733028489,6.831013725341637,False
2040,5.703823996635309,4.965743983745759,6.794381122305286,False
2050,5.517529987423952,4.695696594187599,6.443338251589769,False
2060,5.7294844308586965,4.621419265748484,6.570784548189127,False
2070,5.290527154770568,4.657483237753269,6.278525825698245,False
2080,5.467673569660352,4.779360144401086,6.606974640119663,False
2090,5.615142749276728,4.8514900939939665,6.544837478090273,False
2100,5.075866191969814,4.706712287099282,5.527054297922686,False
